acc_no,hash,lifecycle,length,gc,train_test
NC_010807,bf92bbad719f6b45731534b8c42388bc66ee385388086b59951d89bceed5e789,Virulent,38815,50.86435656318434,0
NC_019934,3a17654713c8d51fb3f87068f317802edb6bc9bc1065cf8746ce28eff85ca4e4,Temperate,39012,53.06316005331693,0
NC_012635,1bc4a7ac71e0e6afa97931e6a71635953c5b926e872c32bb9d322f3173a5c118,Virulent,168394,35.25303751915151,0
NC_002671,b18ea672e96c9cd38ef53636f0719f2c1e17245ec38a9674c9bfaf185e8e20df,Temperate,15179,33.03906713222215,0
NC_002180,1c00b9e963ca3199baddecd6d0fc10e2a52798765d966487425409d3585943ea,Virulent,4532,40.62224183583407,0
NC_004685,2c8a70f92f8ff6dbe328a7e4d37bc9b9f57c405c39f3b71b416b50ee397f30cb,Virulent,69777,65.3840090574258,0
MF140423,1263093c7854f8f12769e74c7978a5a592fe90bc7a07d96b826a1f1a90b4aaee,Virulent,58839,49.85468821699893,0
NC_004585,95cc6d4d91360d008b7d2ed3719f8fa4567795dcd5589b6230ec8983527da5b6,Temperate,41072,38.254772107518505,0
NC_048145,ddb2c9905ccf4a066c29eee780e532d077b0bb86f7777db43e75c3ac26fa559e,Virulent,110377,40.04548048959475,0
FJ483843,9dbfaf3f6fbcf8295257e38f63cb777ba710d4dcb721bd8c1bdb55e875798278,Virulent,4218,47.273589378852535,0
MH153812,08533d28885ec15bc9de76e76ed0d106e9909d7398bacd17a0b4706912f37468,Virulent,131801,41.24627279003953,0
NC_019522,bf33643704d816fa95beb4d663a53085736aaca52bfee2fb42fb1fc9c4c2a835,Temperate,48454,50.20431749700747,0
NC_008720,4c1bf9784261daa75cf9c2f9615b82402d482cd2c025cfad642acf858220350f,Virulent,70153,41.30400695622425,0
NC_005178,093e686465d725095667ea1efa62c84ae6be7105199fa88d79d4af60cbd0f5ba,Temperate,37611,64.34021961660153,0
KX455876,7ab70d4cb53d8f2746eac65804e9535bdf134263d55433bfa792ab4e8462daa7,Temperate,47331,57.049291162240394,0
NC_011040,03d370525c2d1ea9658992f5dfc7bccd8da43fc86f3d0faa554546fb619edd57,Virulent,39816,48.77687361864577,0
NC_006548,db14a34cc26d3fe56041b4f7bad12ffdf510f438aef30b2555484d1558f95dbd,Temperate,38439,63.15981164962668,0
NC_025434,d7f259026c56decd3a4affc605c84aeeddfdde5fc7f3536f973eceea59c1b20b,Temperate,62699,49.346879535558784,0
MH454076,14f55af6ea502c8f63db3aa14c3a760d1a5a70bdd53ab6abb1c94e71f5f99e2f,Temperate,56468,47.997095700219596,0
NC_055747,b8494b1a5cebf4ba8030f4dcafbeae206040ffa69155f61c6d9fb65928e18254,Virulent,165795,41.23284779396242,0
NC_016764,cb853329bc5bf1b71220767d256c4d1d978972b9029bc594b48f7fc15c4d8675,Virulent,40058,58.405312297169104,0
KX576641,667188f11408ec97f7b1092d27eaea76dedd618503c6c8b041800938bda43239,Virulent,42944,60.70463859910581,0
NC_054430,92af7827be8692ad51a4339c9f35620553be96f4de11d7b59700dfb50bc0a512,Virulent,43850,60.89851767388826,0
NC_029024,a03f3050d6f64420d9398d88a798ac685f09e2fd0bfde47d4f1689da835b6b28,Temperate,56505,36.441022918325814,0
MH590589,a9f0240f4f52479280683611a445b2aa257e08d8172889bf2b5f0b17f40503a0,Virulent,129742,47.06340275315626,0
NC_004745,75e6304379b1657ded87e08ffd501e01e0e8d3bdc490c9c2ba4f6ce52df1939f,Temperate,30728,52.10557146576412,0
NC_024124,2eeb791b5f08fb72dcc66c2e1290e95fd9ff658c8133a04dbac134256cc90c9c,Virulent,169148,37.64927755575,0
NC_007456,68ea71adccbaff41644d5ffec826a235645a4ea4f4e4824c6044c3506ae2eb14,Virulent,39704,49.775841225065484,0
NC_001420,f9e79f8333f48af62bea8b5e8ca4f6247c7159404ae7a46bb85675ecffe5062b,Virulent,5577,45.687645687645684,0
MH371109,a242a44c946ea34b106195a39afa2d5a4f437a8c1744ca46c21dc47208b86e08,Virulent,62716,61.59512724025767,0
NC_000929,98066ca0345408bac29a82f9f1e4b47b0e4e6e2c4a778a711483276c5755313f,Temperate,36717,52.054906446605116,0
NC_041875,57ec91a14a959a2574e81f8a193484fd42861983a02649b34457be14476798ae,Virulent,46723,45.89602551206044,0
NC_000872,d8ea49bfd817949d11ea53f76be8a7c41843ed0502c102c254493b21b252e9e7,Temperate,40739,37.56596872775473,0
NC_029029,1fab6efdcb73b13285452e22710b2aa7927965cdbf0148c1275f50a938417d94,Temperate,45552,39.15964172813488,0
NC_042344,12d0ff9be9a4fb297adb857c1425efbb5eab5246cb184de2de64bfdedc821ee7,Virulent,56147,62.361301583343725,0
MK112526,bfc1ec972f1b1c353472f632d5d5148d1970e44a4336d47f59a471d37b46657d,Virulent,43739,61.55147579962962,0
KY290950,99eaf33920395e2f6e9f667fd06b728af7592c7409ffce07827af04d5446f495,Temperate,46057,53.97225177497449,0
NC_028860,84053d8f5ebf11826b4f80faa2592a36d05fbb81bd52b23baf064f9e3d53fc9e,Temperate,52392,61.41395632921056,0
NC_019912,69a703f3e837b5900d5e596e1a0fe03a52582e18a4f9ecaccd32125c61761e4c,Virulent,36932,37.788367811112316,0
NC_007023,7ac91d60cd43679c077449985f76a407221a0fd2ccbd0a83b96f2ca56795ba75,Virulent,180500,43.199445983379505,0
NC_002167,bb6ae71b3a9251f4a1f2e71b7656761c6c0c0cef6bed6bd35cec512fffae4c2d,Temperate,39732,49.786066646531765,0
NC_048742,b94d77384d49b2cd76d0f9039534bb49d7c63dcb183d1f767e295d1da5d714ca,Virulent,128338,47.438794433449175,0
NC_001895,9869e68acba95e0b132761f7c3a7681ff01bb85cd56f8a0b54bb5824e166c58f,Temperate,33593,50.16818980144673,0
NC_011801,b5c857242b4e85c69d0b8f35e9812b99ced7bfc9e6fc3bbd8441af6c8a6f0228,Temperate,38934,37.04217393537782,0
NC_004928,1c9ed82924251cab6e4e457687e0fcad743b0028cbe09ef314acea61b30c7cf5,Virulent,167560,37.655765099068994,0
MF189170,6b1ca1257ebfd65ec7c5540bfd0837fb66321489cfad828e5c33dba1493e875c,Virulent,58059,45.152345028333244,0
NC_020873,5be942283a4fa3dde9628202c4a946f1b8ba301b9d21445ef707ed152c043bf2,Virulent,158621,39.97768265236003,0
NC_023741,c4bdc7a236c239ebd9b1a8e9116df6a6ba272ad1cbbb192a0378eb98d1e1b277,Virulent,69641,68.55731537456383,0
NC_004686,cdeacfd4dea552c6a1850cda4727beba6991f865d3455bff24758e37499e7f0e,Temperate,56275,60.9009329187028,0
NC_010105,30537d2490e2ccfb15d4b658e4883b2a5b52dffbd78ee4522ae6eda39a848dbc,Virulent,170523,39.512558423203906,0
KT898133,9a57e3dcd9d039d877799bb320e4280505ac2d30b6b2a797bcdab48afd952284,Temperate,47457,58.602524390500875,0
NC_007823,80abb498da5797efcfefd401c4277f4f7d6b775dea4feaf1ea63a3a343b044f7,Virulent,6065,44.83099752679308,0
NC_030906,ba9b715a8fee00ba705ebb245f259a89c4660e974da0220f4f6f424257f3cf0f,Virulent,83324,58.17891603859632,0
NC_027382,78e3d4a3d1388ba328c3f4f2f2e7d911602a2072abc556caebfdf15381dc191e,Temperate,37146,51.94637376837345,0
NC_007048,b8c90a0a95b928469f36d22a962a8293eb729e5618702ec59713b865237337b2,Temperate,42732,34.30216231395676,0
NC_023694,326704677bd037be693e4f3ac7433b38c858994669b4f23a6d6f421beda14113,Virulent,78064,53.26526952244313,0
NC_031074,64dd7dedae1b1975e68543ed25d78dc91b61aace9590ebf425868399a26d73e3,Temperate,92580,64.7051198963059,0
NC_001909,5cc70d26b4ee09af7c5c5f1e5680b1fb23a3347c11fce7252c38acdb8e56ffb1,Virulent,31754,34.345279334886946,0
NC_041997,49f9fc5733e71ecc11c80dd83e59446e2f4effe985419deecd418e763425a953,Virulent,156281,58.738426296222826,0
NC_048749,7ce1b2ea46631b38aa4ecffbac1ec9c26423b7f87ecae4bd3c4e031515dc2883,Virulent,60218,50.538045102793184,0
NC_001697,ad17c954ae2bab51a3ad8c0a073ac7e5e600312a367275a89be3f4719df2e46e,Temperate,32355,40.00618142481842,0
NC_007060,0b26f33c2f399b5826f6c6fda71d9ca7b2bed21ac0ece8164537ce37859c2539,Temperate,41902,35.723831798004866,0
NC_055723,359aec606bc08cdf9e5361ba110f19f41b1b53c78e38c30411627677ffdfe5ee,Virulent,167132,35.38400785008257,0
NC_009993,c74761a8ae316c79f20b57d7cc0c3b06c9d197f3c0207e136ea62b71b6cb5f8b,Temperate,53746,67.44687976779667,0
NC_041939,e8bdd52a9fbe1a0d9dc929caa05394be77b270b721227f069919585136700b23,Virulent,42601,60.611253256965796,0
NC_001629,b1f2983e5bfa59c7d4bb0ec44baa7d41af736b1e66b6316b863c37c2e4bbfa3d,Virulent,22195,35.99008785762559,0
NC_041890,28a7fb50b4bbbf0765ae007c096469b2ff37a472b07aeda3eb957b50416c5085,Temperate,35284,64.43147035483506,0
NC_031226,e1f06dd7f3d1e9aa5d9c783b1606744acc1104f220d66288c2c3a44053c8a208,Temperate,53717,66.54317999888303,0
KY290952,a185863e10df82751d92161caa958b32fe28969fa3f07e18a3d023f933307956,Temperate,48252,56.61941473928542,0
NC_009818,462651ab3bf7fde8d22ca75d872804de339509502f98f6a37470054aa75d787b,Temperate,36409,64.19017275948255,0
NC_003524,e0eae6b4cdc2c0ac92299dde71cf73a3e77781f87b6a7fd783f78067b9295cdb,Temperate,33507,28.382129107350703,0
NC_007055,3bb6893c270d1062ae45aaee93946584c091547bf1405b6c30cd0e87c9e01804,Temperate,43681,35.11366498019734,0
NC_048706,33e511c010397594156738f983d322a947ffd030e4e2ce57a8867df9fcb151b3,Virulent,46133,60.68107428521883,0
NC_002166,792e24f3c409aa61c95f7b6223879c38addc4b7a5af2242d09380ec8849b32e9,Temperate,40751,49.48344825893843,0
NC_002515,3053311d94fd991f15d54c3eb28ce5ca9def742fb53e4d8344af0ad814da867f,Virulent,11660,26.79245283018868,0
NC_047966,104f66eff325d3debe74e003d9c84ddb6f08753cd320614115c300310760dc98,Virulent,42696,54.89741427768409,0
NC_026594,072ae8af82667377d3030d5282829c48ef9a2614d6ffa9e8af54059504254bbc,Virulent,56537,63.49824009056017,0
NC_007637,226ca0aa64349b7de2089a8dcbad099c55f339411635e5bafb5b017adc0c1e4f,Virulent,45251,45.05314799672935,0
NC_003444,0073533b337e68091e4746970365fe88269086255fe693975499f65a1809433e,Temperate,37074,50.76873280466095,0
NC_014900,e5010265ac13115a7d71eb44c68d4c7622ed80723c7cfc6b952716460d32ef2c,Temperate,40986,47.059971697652855,0
MK373773,d0d5e1319df143d75cafdfdfeb095fd358ff5fd72128577f99fcc8c6d2e69837,Virulent,44241,45.1843312764178,0
NC_007917,e9a05c087aaf13777c06186c83deadef1134adedf78e591c0df024281b152fd0,Temperate,53325,28.77262072198781,0
NC_005354,365a092472bb2dfa9fc8ba16d72ec94af506ea13c95165c80203e422411ed01a,Temperate,38384,34.69674864526886,0
NC_011645,a592e72d2e1a64f7cf94b61d77196c879af1eb7ce594a67e033426f973d1eb67,Virulent,37456,37.80168731311405,0
NC_031243,0ba65c33c2438c55814110d8dc186655bac3fbbb2b8361f2e651616d347a35bd,Temperate,42395,66.8026889963439,0
MH536823,e28d78d582841082834a371c4b23303eebf0d0fb7b416083cd2a7ab4a713b55f,Virulent,63604,61.7005219797497,0
AY848684,b722ac0b70f652dedb15a9eacc9745fff31a111e0cf72086bc0b6cc3d21f542a,Virulent,14935,48.255775025108804,0
NC_019414,c7d196bcdcd85aa13b6f4cf9974326bcd11f2c124067322ffa8812cc246f192a,Temperate,51071,66.96168079732138,0
NC_007149,1f7d1e03e9cb069367acf0fa8777f189f1e16cea59b8aab4206e0e8b8707640d,Virulent,39503,42.611953522517275,0
NC_048719,0fdf1dad5fa0072494a7704196528dd7dcc207ca617c8922af81a039099db083,Virulent,125726,47.604314143454815,0
NC_031224,355b5602672ad0cc8d3bb444b28e3f4e2a611345ff56e6368a60b2ef2b152f50,Virulent,59443,45.10371280049796,0
NC_004678,a44bcdf20a34ce3318889a6dc4136944697372395a183969f73a9a183440d906,Virulent,16784,29.623450905624406,0
NC_005258,10438b4116aeed2cf041fe9f2636e11cc6d0153de9396f3a77d6e14a0a477c55,Temperate,14935,39.71878138600603,0
MK380014,0cc4749d07d57a8614caea628bc59169204f450ab2677e129683b3b451210075,Virulent,44122,50.40342686188296,0
NC_004616,8d2a9ace816607f1d0b2d18435e70fe70d72f709a1af903f3102eba431a1fe47,Temperate,44970,33.34667556148543,0
NC_008694,0a5d8ec3c635cf16946a38e60af7a2d94c88b20c0bb386a4309be34186d5e042,Virulent,38564,47.189088268851776,0
NC_024379,29728d3a16f9c76e1d7d939c8ca1f4b5c019d90af9394e089d927ddebf47ac45,Virulent,39093,49.92709692272274,0
NC_015266,e477bf353948ad33533a03f975594472b8c36a945c3ef581c002fdeb0c2363fb,Temperate,40555,63.22524966095426,0
NC_004302,38892f8a0fc35a0571d4f498e69c9bb1c68d82ce542e43bf730d5230877432b6,Temperate,33350,35.46026986506747,0
KY290947,bada278bc2f3360f51f2ca177bf5a2cd129bd2e31bcf3de52ff4c9784c381c6f,Temperate,46349,57.01956892273836,0
NC_054914,dec4b5b51d663858dbf2abc76255718c05254f0122ccb66096188df33decd936,Virulent,167076,35.33960592784122,0
NC_011976,0ec9183367b1c405e436ba3ee0f7170dcc31234834c2854d5d073bf2d0fede18,Temperate,43016,47.26380881532453,0
NC_011810,d359af4ae9aba61ba8193a52de17c953612e3e90b7067f6561ed3bf2d189dad5,Virulent,65764,54.928228209962896,0
NC_003157,638181c74f56e10692d4ea9777360468dba52201736d08351a2490bcaf9321aa,Temperate,43106,38.641952396418134,0
NC_004813,7f55480c95ac0f287c1efa0981fefc0a5633b9a0d4cef793caaaae466a8659f3,Temperate,57930,50.60762989815294,0
NC_020201,7f0e43b2002948ca42a9715a998192a7b4b668c2a084d2078f45c424a4847ef0,Virulent,142349,50.13663601430287,0
NC_042328,4087597e8ef9f13339f649b1e3ee52987077277a0a373669e1df1b3f8c3f95f8,Temperate,50364,63.98419505996347,0
DQ079891,418a590ff237d951cfdd4e54d03f725d960b729e975bd7fff8efa628085b9592,Virulent,5386,44.39287040475306,0
NC_007056,05bda025827a369bb6f558f9c630ddf0016facbc448b26c100c5da742e5a9cc9,Temperate,45286,35.9912555756746,0
NC_003313,33b44efa79a7a3df749c5818563baca970aad8c6f1fa10f64bafb9c3ac227b0a,Temperate,33106,48.89748081918685,0
NC_012740,bc89003f7b78adb9101c463bee2cfa9f5657f7c3df63a85c97e58156345bbaa8,Virulent,166418,40.5124445672944,0
NC_013598,4f3c3678ae54f6fe98c6a9d75c3c45fd4be48ee76aa75c08d059138f199a0a5d,Virulent,35525,39.39479239971851,0
NC_041912,b168ade50799d76afd6f6b25bdd672418690e20e83c675c4ceb334cf67f1aa8c,Virulent,40551,57.83334566348549,0
NC_007497,1b6b94fb2e23790d5e0321d3acce600ac1d45c90e5b7a88b3df1ff6d0b9dd29a,Temperate,44856,61.539147494203675,0
NC_048721,fd2c37909776b53719f92ad1fa87b3225da71a007bb848c08f3151f24bea01ae,Virulent,133886,49.46596358095693,0
NC_004665,8e8adbe555498739c84a00039a8a9863366653fb0363319c65da7ffb310b9001,Virulent,37359,57.415883722797716,0
NC_054418,e119cfa10be7ac959362120fb5a7061c805225e26b54e39a05c261ce12fe6b0a,Virulent,43357,61.26577023318034,0
NC_007501,a9d0cc77f9ca10057736db5dfddf54a6a16d039aeaf5c3ebe27b24ede2b68915,Virulent,36466,44.279602917786434,0
NC_007461,c4f9f50918444f43e055ddfd2dd68609d0a1123ab3298b7ec5d5010b42682063,Virulent,4530,41.16997792494481,0
NC_054917,c57ef1ecba373865618ec95a95d39abea19cd3a3ed69c1365c05d5a188e8690e,Virulent,167728,35.51523895831346,0
NC_001884,0ff1debca3450b60f7df30fce6ba4f2e3da5b8fcfc358a7f97eca0e631fcf452,Temperate,134416,34.63501368884656,0
NC_054916,d240f9c1af62a00436c25d91a91446694351eea5b9a6e90f721b2faae42aa09b,Virulent,170121,35.34601842218186,0
NC_048720,df4163a4bbb68ade844ad5475cbaf3c75a6e52edb641f6892288bc2891b12cc7,Virulent,130473,47.87963793275237,0
NC_048734,8e73f2ebf5601b4999d7fb0c31879cdd4c0d698da013e1c7ac1e26c4ea2bf397,Virulent,69660,48.66637955785242,0
NC_055791,acd1e32db626fd7cfaf9b229d97f075296154cd00f1a54aba0f8cb97bcb4bbe7,Virulent,135653,49.905273012760496,0
NC_002656,fadccee16858b30d67db99f5ac641e23678d4d5e927161cdee05acc044a31b75,Temperate,50550,63.64985163204748,0
NC_004746,223a1ccea4701ff91b8f086b1901b7672e5e2b3dea05d8754ae875ffc3216ab3,Virulent,36596,35.3672532517215,0
NC_008193,5b60352597afcc08eddb225100937015b494f2022eda6823b2ba086be9fa6b6a,Temperate,30505,42.10457302081626,0
NC_023583,6d302ad63284960bfee2ea837dadd249c2ce895f398554a9d79a66b8dc835e0c,Virulent,45696,52.3656337535014,0
MG893203,e0375fbac9eedc155adbc6e3e4c7ba1bd8336cb74456d6ede9414a954893855c,Virulent,75893,48.988707785961815,0
NC_042020,2e6c8c16c4187c6859cb162c9fa1cd227835093895e1f86d0df49f3ee57f0845,Virulent,45428,45.74931760147926,0
NC_005066,fe107bf32254f61e53fb9eef2fdc4e5d1eac929c685a4520d2559d08a4e69a55,Virulent,164018,40.44190271799437,0
CP000711,9aabfd8b09e2526222a5e1fb8933781e666fbcceb9e751dafc2795d1de99e92f,Temperate,40207,46.859999502574176,0
NC_054465,c887996240eca74a9b0ed4900e964947b1ec623946b56474164713f4bbdf38af,Virulent,43233,56.359725209909094,0
NC_024790,f8d685f65e25c67a5edef87943627f63ec752dd179dc28821a334a1d1de8e38b,Virulent,71778,43.34475744657137,0
NC_011201,434deae5274baa34f2d0936992abac81763db5d6198c79bddcd20946b89b7884,Virulent,43079,61.737737644792126,0
MF189175,50a07dadc1e333ee0ac78c383ac913d4072bd113577f2014f8f386888ed0b158,Virulent,59084,45.22544174395775,0
NC_000902,369de667e94ce71134b3e10a2996f2df11fdec0c132e8e91a577f812aa1d1b9c,Temperate,60942,49.91303206327328,0
NC_041883,1a373fec1d7e1c79754024f08a599e4bc4ebe971f008e9ae71609b42863eef84,Temperate,47881,66.81982414736534,0
MH669274,e67f6750bda3c71039e184d547509b65fbfb097597646956ca9347e103b82d5f,Virulent,72213,42.88424521900489,0
NC_005265,09b4185d16153569aaebcbc44a997fa26ff4220fde9849875702f4812f0b4b52,Temperate,14796,38.49689105163558,0
NC_009514,946342c20c03bb6d2df418b01c2a033691a42c769a5929f04d7c6e45b9cfb90e,Temperate,47021,49.116352268135515,0
NC_007053,0a0a4f04bdef3a2891ebd51add344b8d07d35d1da5cbcd92d7eef415a37eb59d,Virulent,43095,33.46327880264532,0
NC_031011,bc8d8c572ea9d946a6253f17907a9bb64e535adcda47c75c13fea5e1fb510ba9,Virulent,168993,35.38193889687739,0
NC_008152,dedad6d8ca97261158542aae06c5213f18673844963e30ac1d342d808539d951,Virulent,44385,45.24726822124592,0
NC_001447,80a9a6142d13426240b893c6d0e5d8aba0e359dc465475d61eeee5fb3b444166,Temperate,11965,31.959882992060177,0
KY290953,e87beb18fb80defa5da963a0a9c1e8fffca4b88e2cec9efb4a6efe9c127c28ab,Virulent,43551,55.42697067805561,0
NC_054427,6607e97ebc5710dd7e46d5c300696486912bd5fba3546a9253db83aac0c7b03e,Virulent,44163,60.82920091479293,0
NC_027990,a8386ab79f025ee403d3e5504ff9d24a07613ba5eb5508795b6e1853344c71e2,Temperate,48211,45.87749683682147,0
NC_013693,10924185074913eb672b0bed919d6dfad674955c7102a6dc2d30f012b8d6987a,Virulent,158006,50.398086148627264,0
NC_042008,5587413d67180f92bd1a0e007fd1b2489d910818fc8ba3bd523e1fef7c6cb771,Virulent,131976,49.46884281990665,0
NC_007047,ba8ff9d440fdb35da867486c94a087fcb9eb79303286727b0dcc83ed08d0a017,Temperate,39620,34.25037859666835,0
NC_031247,616b5076be4b56edffbbcad988f828dcb9ec2504e4766f75d53c3528878492f0,Temperate,50636,67.11430602733233,0
NC_054148,f6b4a5568253f4a4ee9f162ce2b1dbb2cc18714a87252ad1d56ca24d0884d557,Temperate,43707,62.15251561534765,0
MH045559,a2340dfb6e4ea73c72d3cde324c53d09a77c2892aab38746513d8f0ccd86520c,Virulent,41908,63.41271356304286,0
NC_010463,f29424bf335e7947eec2220b3d1dc4e071ae08d12c171fa3d6df698e41273ced,Temperate,33693,52.488647493544654,0
NC_002371,d3a98ec799672d34a1965be327868dc92cae2b1b0559d559b09dd85b38085489,Temperate,41724,47.09040360464002,0
NC_004902,6fbddfb85493ccce1c00a421e4ee997fc9bd9df24ee9155b357ccc004ce76e4d,Virulent,44373,52.03840173078223,0
NC_011167,8b09d3b61428b50c43c5edb7742fa81ba551dfdbacee9882df5783ca5cdd0864,Temperate,53104,36.422868333835495,0
NC_055034,478fe1a1dec6370e10706fa3e6e29943cb77851c4790fa0c1c55ffc512e32078,Virulent,59879,64.76561064814041,0
MF140409,64e333138e2d84fe6ba717730f0906f3d8f3d6ed07fd40c2e47fac68edd7de2f,Virulent,15556,59.642581640524554,0
NC_000896,a05efe0f03996edf8391820e6f06bda2546fcdf669f2a26e5bbb2c23fbd26567,Temperate,43785,35.57154276578737,0
NC_048708,ae7b89df34bf81d616d2a5bef02f64f80db498fa3d488a7ee7eca0b425f653bd,Temperate,46807,58.736941055824985,0
NC_005340,d67c3cd09a0b68b9755fad88ef425ace25ca98eb6bb7b99efee7af3e8ce93061,Temperate,30636,52.82673978326152,0
NC_023692,de785e424b6769b3f29818ab8a7d9c19835164a88629697063744277d6ab15d6,Temperate,48984,66.73607708639555,0
NC_007603,ab685083a0efff78bfdfa2c57729a17134acc3a3e99f745e16466f6d143c9cd5,Virulent,46219,44.28265431965209,0
NC_004348,ed13ba6d7c98bbc3aa0d2ea6fd76b0a85cc1851924b4705dba5ce1e6510e39bb,Temperate,40679,47.52329211632538,0
NC_005879,454dfb9b736ea4522c48d645b9a2edf347db344db453232271145b17b6716e6c,Virulent,39853,50.55830175896419,0
NC_042312,f738b1e6ec7637c689c17dde635adf596bf382dcd247bbefc9d847f5655825d1,Temperate,51578,60.954282833766335,0
NC_006945,14f5e40c6c33db3bd38c6c9fa66552e8579a53b1445b0e319c09b3d24a6115e1,Temperate,14844,40.07006197790353,0
NC_001330,495c78e0334f9c3abb665bbede6816977d8f7f5347e1630f4cef1236c1d4d9e8,Virulent,6087,45.178248726794806,0
NC_019449,6108e58d7685f70255b14e268d4a039fd5b728a96a673da601e7d0628506b055,Virulent,31841,42.01815269620929,0
NC_001416,36432a40f602258d19ae7c8152ddbc30390b559f2859c01d7047c77b048c71b3,Temperate,48502,49.85773782524432,0
NC_005263,59f317539bc539147e82a98ab14c2cee2da4c3cf6a55f1e4ca76c9d6dff275db,Virulent,48177,63.64032629678062,0
MF140431,50df76264fd7929e77e47ca65c7347366b295f542c3ddde5c47dbe136d0a5d32,Virulent,15546,59.899652643766885,0
NC_013594,e35b147f91c70882a6219ba3c1734e2ed6ba85338d9f0faeec4d421f8fef6ade,Temperate,37235,51.76044044581711,0
NC_042345,30cc26d81599f2e3e004baea78d868faacf676a7ee405ea25d823f0ddc2dad34,Virulent,55601,63.04023308933292,0
NC_007062,ec6dc8211eda9df80a56ed4a611b57654bb3096cf747ea1c907e32c940beac8c,Temperate,41690,35.53370112736867,0
NC_007145,a931c2f8c8ab31063f02c4886d03f6540c60bbf6d04d21b87dad339af7b45cb5,Temperate,37639,64.81840644012858,0
NC_042105,08f080e407827ee8f75f1d8853f63276944caf3585e90a41a6aaea4f5f5e7ac3,Virulent,127084,52.832772024802495,0
NC_000866,b5ffcfee85e6b40432104f4a0adfd34d64309982d7841346957ed85b395698a8,Virulent,168903,35.29836651806066,0
NC_048669,6bbb65a0979dd3f1f1f7dccfdc88e1eb603dd5fe2240765fb0ca5d0be4130d35,Temperate,46854,58.718572587185726,0
NC_008201,fdfc0552e7f9892c3502c34905904d4334eea889baf7a5d31d82794e20ce1013,Temperate,34525,41.566980448950034,0
MK327929,d3fb6f837b74412304f81cf9e21e2596e2419a6f49c446017c9bba94398e0d0e,Virulent,168049,35.38848788151075,0
NC_007581,3f6ba9eb6fa594f23e4732736c76e2b81db5d8eb16a3560e7bdd95e8d1bf1233,Temperate,185683,26.284043234975737,0
MK962756,64a0890d33f5e51c788a6305afff6a5290bb09cdb0790f0b45829bc86a8d52dd,Virulent,168306,37.57738880372654,0
NC_029092,bdbb28f1fdf873e8508aca2a9695f7f97686865f29ff736f86e99a4c305f376f,Virulent,44974,60.9018544047672,0
NC_041982,095f9eb21109bb7e91f23fd352464551447139e7a378b4693e7375a7a7ade492,Temperate,51094,64.9567463890085,0
NC_020478,b8f7eca0e2699925d5064c64dffcd38e70a84b4804d40f08275b11752ef32108,Virulent,49259,41.90706266875089,0
MG022439,3130afe03a18ab4e3062418c74d630c1fb5434ab33286b25a3e5869a6a221b02,Virulent,138073,43.702244464884515,0
NC_002661,6436300f404a0cb67dfd5e96acecaad940c4732370a1a1aef5284547a35ff12b,Temperate,42942,33.312374831167624,0
NC_023732,a58158d2494651f0acbc0ec15b160d3ec4681b2db56a54d50b45d31b42463d6e,Temperate,69279,58.911069732530784,0
NC_002484,e3cfe00d5fedeab762c4c6d42f68dd2d72283b74dfdd80831d45a260914f552a,Temperate,56426,57.80491262892993,0
NC_011356,2c1fcdbfd152f58f4f3957f518a0f24e25dc445324f7e0536f852a297d9d5163,Temperate,54896,51.11483532497814,0
