acc_no,strandedness
KC821627,dsDNA
KC821628,ssDNA(+)
KC821629,dsDNA
KC821630,dsDNA
KC821631,ssDNA(+)
KC821634,dsDNA
KC847113,dsDNA
KC862296,dsDNA
KC900378,dsDNA
KC911856,dsDNA
KC911857,dsDNA
KC969441,dsDNA
KF005318,dsDNA
KF005319,dsDNA
KF005320,dsDNA
KF017927,dsDNA
KF024733,dsDNA
KF024734,dsDNA
KF030445,dsDNA
KF044309,ssDNA(+)
KF044310,ssDNA(+)
KF114876,dsDNA
KF114877,dsDNA
KF114878,dsDNA
KF114879,dsDNA
KF114880,dsDNA
KF148616,dsDNA
KF156339,dsDNA
KF188414,dsDNA
KF279413,dsDNA
KF279416,dsDNA
KF296717,dsDNA
KF302032,dsDNA
KF302033,dsDNA
KF302034,dsDNA
KF302035,dsDNA
KF302036,dsDNA
KF493883,dsDNA
KF664580,ssDNA(+)
KF669657,dsDNA
KF676640,dsDNA
KF751793,dsDNA
KF751794,dsDNA
KF751795,dsDNA
KF751796,dsDNA
KF751797,dsDNA
KF771236,dsDNA
KF787094,dsDNA
KF841476,dsDNA
KF981875,dsDNA
KF981876,dsDNA
KJ018210,dsDNA
KJ019026,dsDNA
KJ019027,dsDNA
KJ019028,dsDNA
KJ019029,dsDNA
KJ019030,dsDNA
KJ019031,dsDNA
KJ019032,dsDNA
KJ019033,dsDNA
KJ019034,dsDNA
KJ019035,dsDNA
KJ019036,dsDNA
KJ019037,dsDNA
KJ019038,dsDNA
KJ019039,dsDNA
KJ019041,dsDNA
KJ019042,dsDNA
KJ019043,dsDNA
KJ019044,dsDNA
KJ019045,dsDNA
KJ019046,dsDNA
KJ019047,dsDNA
KJ019048,dsDNA
KJ019049,dsDNA
KJ019050,dsDNA
KJ019051,dsDNA
KJ019053,dsDNA
KJ019054,dsDNA
KJ019055,dsDNA
KJ019057,dsDNA
KJ019060,dsDNA
KJ019061,dsDNA
KJ019062,dsDNA
KJ019063,dsDNA
KJ019064,dsDNA
KJ019065,dsDNA
KJ019066,dsDNA
KJ019068,dsDNA
KJ019070,dsDNA
KJ019072,dsDNA
KJ019073,dsDNA
KJ019074,dsDNA
KJ019075,dsDNA
KJ019076,dsDNA
KJ019077,dsDNA
KJ019078,dsDNA
KJ019079,dsDNA
KJ019080,dsDNA
KJ019081,dsDNA
KJ019083,dsDNA
KJ019084,dsDNA
KJ019085,dsDNA
KJ019086,dsDNA
KJ019087,dsDNA
KJ019088,dsDNA
KJ019089,dsDNA
KJ019090,dsDNA
KJ019092,dsDNA
KJ019093,dsDNA
KJ019094,dsDNA
KJ019095,dsDNA
KJ019096,dsDNA
KJ019097,dsDNA
KJ019098,dsDNA
KJ019099,dsDNA
KJ019100,dsDNA
KJ019101,dsDNA
KJ019102,dsDNA
KJ019103,dsDNA
KJ019104,dsDNA
KJ019105,dsDNA
KJ019106,dsDNA
KJ019107,dsDNA
KJ019108,dsDNA
KJ019109,dsDNA
KJ019110,dsDNA
KJ019111,dsDNA
KJ019112,dsDNA
KJ019113,dsDNA
KJ019114,dsDNA
KJ019115,dsDNA
KJ019116,dsDNA
KJ019117,dsDNA
KJ019118,dsDNA
KJ019119,dsDNA
KJ019120,dsDNA
KJ019121,dsDNA
KJ019122,dsDNA
KJ019123,dsDNA
KJ019124,dsDNA
KJ019125,dsDNA
KJ019126,dsDNA
KJ019127,dsDNA
KJ019128,dsDNA
KJ019129,dsDNA
KJ019130,dsDNA
KJ019131,dsDNA
KJ019132,dsDNA
KJ019135,dsDNA
KJ019137,dsDNA
KJ019138,dsDNA
KJ019139,dsDNA
KJ019140,dsDNA
KJ019141,dsDNA
KJ019142,dsDNA
KJ019143,dsDNA
KJ019144,dsDNA
KJ019145,dsDNA
KJ019146,dsDNA
KJ019147,dsDNA
KJ019148,dsDNA
KJ019149,dsDNA
KJ019150,dsDNA
KJ019151,dsDNA
KJ019152,dsDNA
KJ019153,dsDNA
KJ019154,dsDNA
KJ019155,dsDNA
KJ019157,dsDNA
KJ019158,dsDNA
KJ019159,dsDNA
KJ019160,dsDNA
KJ019161,dsDNA
KJ019162,dsDNA
KJ019163,dsDNA
KJ019164,dsDNA
KJ019165,dsDNA
KJ021043,dsDNA
KJ133690,dsDNA
KJ133691,dsDNA
KJ133692,dsDNA
KJ133693,dsDNA
KJ133694,dsDNA
KJ133695,dsDNA
KJ133697,dsDNA
KJ133698,dsDNA
KJ133699,dsDNA
KJ133700,dsDNA
KJ133701,dsDNA
KJ133702,dsDNA
KJ133703,dsDNA
KJ133704,dsDNA
KJ133705,dsDNA
KJ133706,dsDNA
KJ133707,dsDNA
KJ183192,dsDNA
KJ183193,dsDNA
KJ194581,dsDNA
KJ194583,dsDNA
KJ194584,dsDNA
KJ206560,dsDNA
KJ206561,dsDNA
KJ206562,dsDNA
KJ206563,dsDNA
KJ410740,unknown
KJ417497,dsDNA
KJ433975,dsDNA
KJ477684,dsDNA
KJ477685,dsDNA
KJ477686,dsDNA
KJ538722,dsDNA
KJ538723,dsDNA
KJ540269,ssDNA(+)
KJ540270,ssDNA(+)
KJ540271,ssDNA(+)
KJ540272,ssDNA(+)
KJ545483,dsDNA
KJ567044,dsDNA
KJ567045,dsDNA
KJ572844,dsDNA
KJ578763,dsDNA
KJ578764,dsDNA
KJ578766,dsDNA
KJ578769,dsDNA
KJ578771,dsDNA
KJ578775,dsDNA
KJ578777,dsDNA
KJ595575,dsDNA
KJ617393,dsDNA
KJ619459,ssDNA(+)
KJ725374,dsDNA
KJ803031,dsDNA
KJ829260,dsDNA
KJ909655,dsDNA
KJ936628,dsDNA
KJ997912,ssDNA(+)
KM058087,dsDNA
KM091443,dsDNA
KM101117,dsDNA
KM209228,dsDNA
KM224878,dsDNA
KM233455,dsDNA
KM347890,dsDNA
KM363597,dsDNA
KM408320,dsDNA
KM411958,dsDNA
KM411960,dsDNA
KM434185,dsDNA
KM463009,dsDNA
KM589507,ssDNA(+)
KM591905,dsDNA
KM592966,dsDNA
KM606995,dsDNA
KM606996,dsDNA
KM606997,dsDNA
KM606998,dsDNA
KM606999,dsDNA
KM607001,dsDNA
KM607002,dsDNA
KM607003,dsDNA
KM612260,dsDNA
KM612261,dsDNA
KM612262,dsDNA
KM612263,dsDNA
KM612265,dsDNA
KM923970,dsDNA
KP017310,dsDNA
KP017311,dsDNA
KP027195,dsDNA
KP027197,dsDNA
KP027198,dsDNA
KP027202,dsDNA
KP027203,dsDNA
KP027204,dsDNA
KP027207,dsDNA
KP027208,dsDNA
KP027209,dsDNA
KP057620,dsDNA
KP063903,dsDNA
KP087937,ssDNA(+)
KP087938,ssDNA(+)
KP087939,ssDNA(+)
KP087940,ssDNA(+)
KP087941,ssDNA(+)
KP087942,ssDNA(+)
KP087943,ssDNA(+)
KP087944,ssDNA(+)
KP087945,ssDNA(+)
KP087946,ssDNA(+)
KP087947,ssDNA(+)
KP087948,ssDNA(+)
KP087949,ssDNA(+)
KP087950,ssDNA(+)
KP087951,ssDNA(+)
KP087952,ssDNA(+)
KP087953,ssDNA(+)
KP087954,ssDNA(+)
KP087955,ssDNA(+)
KP087956,ssDNA(+)
KP137432,dsDNA
KP137438,dsDNA
KP137439,dsDNA
KP209285,dsDNA
KP296794,dsDNA
KP340287,dsDNA
KP682373,dsDNA
KP682374,dsDNA
KP682375,dsDNA
KP682377,dsDNA
KP682379,dsDNA
KP682380,dsDNA
KP682382,dsDNA
KP682384,dsDNA
KP682386,dsDNA
KP682387,dsDNA
KP682388,dsDNA
KP682389,dsDNA
KP682390,dsDNA
KP682391,dsDNA
KP682392,dsDNA
KP791807,dsDNA
KP793101,dsDNA
KP793103,dsDNA
KP793106,dsDNA
KP793107,dsDNA
KP793109,dsDNA
KP793110,dsDNA
KP793111,dsDNA
KP793112,dsDNA
KP793113,dsDNA
KP793114,dsDNA
KP793115,dsDNA
KP793116,dsDNA
KP793117,dsDNA
KP793119,dsDNA
KP793126,dsDNA
KP793127,dsDNA
KP793128,dsDNA
KP793135,dsDNA
KP836355,dsDNA
KP836356,dsDNA
KP861231,dsDNA
KP869103,dsDNA
KP869108,dsDNA
KP869109,dsDNA
KP869110,dsDNA
KP972568,ssDNA(+)
KP972569,ssDNA(+)
KR011061,dsDNA
KR029086,dsDNA
KR029087,dsDNA
KR052481,dsDNA
KR054028,dsDNA
KR063267,ssDNA(+)
KR063268,ssDNA(+)
KR063281,dsDNA
KR080196,dsDNA
KR080200,dsDNA
KR080203,dsDNA
KR080205,dsDNA
KR091942,dsDNA
KR093625,dsDNA
KR093626,dsDNA
KR093627,dsDNA
KR093628,dsDNA
KR093629,dsDNA
KR093630,dsDNA
KR093631,dsDNA
KR093632,dsDNA
KR093633,dsDNA
KR093634,dsDNA
KR093635,dsDNA
KR093636,dsDNA
KR093637,dsDNA
KR093638,dsDNA
KR093639,dsDNA
KR093640,dsDNA
KR093641,dsDNA
KR093642,dsDNA
KR093643,dsDNA
KR093644,dsDNA
KR093645,dsDNA
KR093646,dsDNA
KR093647,dsDNA
KR093648,dsDNA
KR093649,dsDNA
KR093650,dsDNA
KR093651,dsDNA
KR093652,dsDNA
KR093653,dsDNA
KR093654,dsDNA
KR093655,dsDNA
KR093656,dsDNA
KR131710,dsDNA
KR233165,dsDNA
KR296686,dsDNA
KR296687,dsDNA
KR296688,dsDNA
KR296693,dsDNA
KR296694,dsDNA
KR296695,dsDNA
KR537872,dsDNA
KR560069,dsDNA
KR709302,dsDNA
KR709303,dsDNA
KR816508,dsDNA
KR902979,dsDNA
KR902980,dsDNA
KR902981,dsDNA
KR902982,dsDNA
KR902983,dsDNA
KR902984,dsDNA
KR902985,dsDNA
KR902986,dsDNA
KR902987,dsDNA
KR997931,dsDNA
KR997933,dsDNA
KT001912,dsDNA
KT020852,dsDNA
KT021004,dsDNA
KT070866,dsDNA
KT070867,dsDNA
KT070868,dsDNA
KT151957,dsDNA
KT151958,dsDNA
KT160311,dsDNA
KT184308,dsDNA
KT184309,dsDNA
KT184310,dsDNA
KT184311,dsDNA
KT184312,dsDNA
KT184313,dsDNA
KT184314,dsDNA
KT184315,dsDNA
KT184316,dsDNA
KT186229,dsDNA
KT187252,dsDNA
KT222940,dsDNA
KT232076,dsDNA
KT246485,dsDNA
KT253150,dsDNA
KT254130,dsDNA
KT254131,dsDNA
KT254132,dsDNA
KT254133,dsDNA
KT264749,ssDNA(+)
KT264750,ssDNA(+)
KT264751,ssDNA(+)
KT264752,ssDNA(+)
KT264753,ssDNA(+)
KT264754,ssDNA(+)
KT264755,ssDNA(+)
KT264756,ssDNA(+)
KT264757,ssDNA(+)
KT264758,ssDNA(+)
KT264759,ssDNA(+)
KT264760,ssDNA(+)
KT264761,ssDNA(+)
KT264762,ssDNA(+)
KT264763,ssDNA(+)
KT264764,ssDNA(+)
KT264765,ssDNA(+)
KT264766,ssDNA(+)
KT264767,ssDNA(+)
KT264768,ssDNA(+)
KT264769,ssDNA(+)
KT264770,ssDNA(+)
KT264771,ssDNA(+)
KT264772,ssDNA(+)
KT264773,ssDNA(+)
KT264774,ssDNA(+)
KT264775,ssDNA(+)
KT264776,ssDNA(+)
KT264777,ssDNA(+)
KT264778,ssDNA(+)
KT264779,ssDNA(+)
KT264780,ssDNA(+)
KT264781,ssDNA(+)
KT264782,ssDNA(+)
KT264783,ssDNA(+)
KT264784,ssDNA(+)
KT264785,ssDNA(+)
KT264786,ssDNA(+)
KT264787,ssDNA(+)
KT264788,ssDNA(+)
KT264789,ssDNA(+)
KT264790,ssDNA(+)
KT264791,ssDNA(+)
KT264792,ssDNA(+)
KT264793,ssDNA(+)
KT264794,ssDNA(+)
KT264795,ssDNA(+)
KT264796,ssDNA(+)
KT264797,ssDNA(+)
KT264798,ssDNA(+)
KT264799,ssDNA(+)
KT264800,ssDNA(+)
KT264801,ssDNA(+)
KT264802,ssDNA(+)
KT264803,ssDNA(+)
KT264804,ssDNA(+)
KT264805,ssDNA(+)
KT264806,ssDNA(+)
KT264807,ssDNA(+)
KT264808,ssDNA(+)
KT264809,ssDNA(+)
KT264810,ssDNA(+)
KT264811,ssDNA(+)
KT264812,ssDNA(+)
KT264813,ssDNA(+)
KT264814,ssDNA(+)
KT264816,ssDNA(+)
KT264817,ssDNA(+)
KT264818,ssDNA(+)
KT264819,ssDNA(+)
KT264820,ssDNA(+)
KT264821,ssDNA(+)
KT264822,ssDNA(+)
KT264823,ssDNA(+)
KT264824,ssDNA(+)
KT264825,ssDNA(+)
KT264826,ssDNA(+)
KT264827,ssDNA(+)
KT264828,ssDNA(+)
KT264829,ssDNA(+)
KT264830,ssDNA(+)
KT264831,ssDNA(+)
KT264832,ssDNA(+)
KT264833,ssDNA(+)
KT264834,ssDNA(+)
KT264835,ssDNA(+)
KT281796,dsDNA
KT321476,dsDNA
KT326767,dsDNA
KT336320,dsDNA
KT336321,dsDNA
KT345706,dsDNA
KT347314,dsDNA
KT355472,dsDNA
KT355473,dsDNA
KT355474,dsDNA
KT355475,dsDNA
KT359365,dsDNA
KT361653,dsDNA
KT361655,dsDNA
KT361656,dsDNA
KT361657,dsDNA
KT361920,dsDNA
KT364588,dsDNA
KT365397,dsDNA
KT365398,dsDNA
KT365399,dsDNA
KT365400,dsDNA
KT365402,dsDNA
KT367887,dsDNA
KT372690,dsDNA
KT372691,dsDNA
KT372692,dsDNA
KT372693,dsDNA
KT372694,dsDNA
KT372695,dsDNA
KT372696,dsDNA
KT372697,dsDNA
KT372698,dsDNA
KT372714,dsDNA
KT373978,dsDNA
KT375356,dsDNA
KT381277,dsDNA
KT381864,dsDNA
KT454972,dsDNA
KT588074,dsDNA
KT588075,dsDNA
KT591076,dsDNA
KT591491,dsDNA
KT599441,dsDNA
KT626047,dsDNA
KT716399,dsDNA
KT716493,dsDNA
KT717083,dsDNA
KT717084,dsDNA
KT717085,dsDNA
KT728930,ssDNA(+)
KT728931,ssDNA(+)
KT783672,dsDNA
KT803877,dsDNA
KT820175,dsDNA
KT852578,dsDNA
KT870145,dsDNA
KT876726,dsDNA
KT880194,dsDNA
KT881477,dsDNA
KT887557,dsDNA
KT895374,dsDNA
KT898133,dsDNA
KT898134,dsDNA
KT919972,dsDNA
KT919973,dsDNA
KT959213,dsDNA
KT962832,dsDNA
KT967075,dsDNA
KT968832,dsDNA
KT970646,dsDNA
KT990218,dsDNA
KT995479,dsDNA
KU052037,dsDNA
KU130127,dsDNA
KU130128,dsDNA
KU130130,dsDNA
KU130131,dsDNA
