acc_no,hash,lifecycle,length,gc,train_testdf_train_onhold
MK249190,86831a363e6b21c01be954657ac3b574edc9ca81e0cf7875be514b5acf58e070,Non-chronic,4510,53.90243902439025,0
KJ997912,e47ac38d391a81140561868aaa295b6bc6625ca2ac9f36b37fe33794fb1af6a1,Non-chronic,5386,44.8013367991088,0
DQ079906,000c2a0e23d928107a2f6f8f1c3c12b1938019b82d621d646470f460a06bb9b0,Non-chronic,5529,46.13854223186833,0
MK496750,34c501a050ba926191100aac6c9a7af8993cd81f3dfc64041656c2b9ae54f489,Non-chronic,4592,35.474738675958186,0
MK448348,16527316c968ff1cc9c68d8edf45fad997ed69853ec3567d4ee6c1c486241758,Non-chronic,10909,42.82702355852965,0
,b6f75f4f594ea15b1772d7f20f8a71b60acbf78b1623a0c95f0085de539ffcb5,Chronic,7000,34.628571428571426,0
MH572480,a54035507362381232544a95b85b8efce29ab6b10ac8d86ab4e953d672f132c4,Non-chronic,4338,47.786998616874136,0
,d393a72af722a6f512d998cb39712b5d09f0ada71abb1f623a26cccf72a62ad3,Chronic,5515,31.223934723481413,0
,dbf4ea5eb1cf2817ccccdf591354f739e68e11230e0189a1b0c09dd7d1989ab8,Chronic,6763,47.124057370989206,0
MN876845,83cc7d39da1d93bcd8437b866910c22f6403bae2e9f386f0eaec5dfcaf441456,Non-chronic,18212,45.05820338238524,0
MN862345,0c4e8e725cb876de92cb71c19946949916735f5334d9600ee1b4a590f2004f2e,Non-chronic,4489,48.429494319447535,0
MH572449,492bcdcb77762ae577bc408cea83d21c3b01eb428a92eeaff22cf62346e7c4f4,Non-chronic,4240,50.89622641509434,0
HM753704,d6af2beab82936b6e29695c67f1e745f332bf9829b43aec55089d92584482651,Non-chronic,5386,44.634236910508726,0
MK249131,2eb15a10a010e6c4d9cb730647bf85de67713f605f82c381cdbbd84563476dc8,Non-chronic,4594,54.04875925119721,0
MK249191,12e72e5af5192f95c4ffcb3af2ad4ddc640c26f17683c325c3f9535e9b7df51b,Non-chronic,4507,38.34035944086976,0
MK448448,0623ce4b3ba6b27c1812601ac15da5fded062f6b3d8467b8c7ab6aceec6f0453,Non-chronic,10251,37.79143498195298,0
DQ079891,418a590ff237d951cfdd4e54d03f725d960b729e975bd7fff8efa628085b9592,Non-chronic,5386,44.39287040475306,0
MH572471,f1d6a20326faf7838f059fb2db1d8ea528ab571aa520160f2f062993a77d7099,Non-chronic,4076,34.15112855740922,0
NC_045425,e5ee6e77cd172547e968d5fcf824bf311c11936cf55f5ed3968adfc267a74330,Chronic,5688,58.034458509142056,0
HM775311,62da40128c96fd3450670a2c186f2787dac6c1d1b1e3c63651d86ee624ce7ed7,Non-chronic,5359,44.42993095726815,0
KT264795,7aedd37937fc9cd52fc5d77846df30b3c96d4ffc99e707db27a386e2723af4e3,Non-chronic,5338,46.40314724615961,0
MK765616,f1b300b13a99138e3ec87934105e48606d8178ec43e9561800dd44353d721277,Non-chronic,5735,41.62162162162162,0
,16eb1871764d1e5df3b6cee3103078512868138b9eec30f28a74418ec04b4997,Chronic,5394,34.81646273637375,0
MG563770,3dec5e1a599d5294938a1803fbeb0fa6060897a39aeb2acbd3cd27d4b09bc1cc,Non-chronic,5489,45.144835124795044,0
,5bfa02a3b241cc3490e17dd7f14096ed959fd2720ac8a164f740c705c477fb31,Chronic,6851,19.734345351043643,0
DQ079881,5cf4c01a5bbab292bbe708cc380c733213f9069b5e71230d7c09ee4f8cd4a0ac,Non-chronic,5386,44.35573709617527,0
MK448635,cc699fa78992184e965e5d9e03f9c5f81e6ef14a8035f387a22e91859c3d243c,Non-chronic,9550,36.890052356020945,0
MK448585,a22c30d5cf833efa54f5b396bc653f4e2eedc56d5f151c330eaff05e0e8d8686,Non-chronic,12998,33.12817356516387,0
MK448328,ab3080153e0500da93fc8c9e69f09b400bb947aaff4a3f1eba5fa911bd10d60c,Non-chronic,12210,36.24897624897625,0
MK496783,a0164e068f1f6f4ce83c58b594a2d8760d64a58ec7e398fe718c7dcdcfe2bf39,Non-chronic,5402,35.172158459829696,0
NC_001365,578eef5e1118b32ea4091e2e9835362aa6776388477cc8b058c64d452ce41bdc,Chronic,8273,22.8937507554696,0
NC_017087,12696b43aa8d3428b53927e4163e2e6aef0afaa37247323df25883266ce59d4f,Chronic,10656,63.7012012012012,0
MW960029,8b2a4ade7900f38d1fa6667c9c95899a46ce993ebba7e4ca44e058c518859cdd,Non-chronic,6034,58.402386476632415,0
MK249135,7abc4ebabf57adbbd29c13c37a84047f2f19089d8aee6fc0afafee2be948bc90,Non-chronic,4324,54.13968547641073,0
FJ483838,893276272a357d5e7227379fb5e77511d2dd95e81765b8fa9d6e1bc4483432da,Non-chronic,3393,46.035956380783965,0
HM753681,d5c7e167d35e6c0112db07ba7138a1531744b24c333ca1bd6acc21d9ac10b5c4,Non-chronic,5387,44.737330610729536,0
HM753662,aeaefadf0ce9e545bce799670cc3b9b2f295160385a287d5a3eee639c7a82e5b,Non-chronic,5386,44.745636836242106,0
MH972263,5ad96f1607b389be45d2141b2a4824241dd84e7ab3f2b2fef9f43d331857bf72,Non-chronic,18547,29.589691055157168,0
MK448445,c463df205e9ee14fb9bd63be68df630163806511469c287fa7d3d308441161e2,Non-chronic,13470,37.052709725315516,0
HM753693,eb2b59b6bf70117efaeeb6b0ee7e66132899cbbdb3a77a7929765273e56f7dd2,Non-chronic,5387,44.8487098570633,0
NC_055014,f90a9c1d6f4214e48c0731eb06ca2b24c411427e33ca9cd6785614e9f683c00c,Non-chronic,20030,36.21567648527209,0
,3ab13232d9d69258dcacc049d56089ff31a0e1651464ec537f2b6b4c32205de6,Chronic,4362,36.93259972489684,0
MK496679,e1f3a7368b0f7912255c49bad50ca2bfbf5b712dc45481201999b35d1b26c678,Non-chronic,5881,35.43615031457235,0
MH327487,be5a313a17e78a9a3ce141d8dc926139adc7436b083b378fa2b7ca69c2c0d67c,Non-chronic,13641,38.36229015468074,0
,77a7fcac53a889d0c2b88bf4d51102c772c8ada437b6774846f94fd8edd00e21,Chronic,4305,42.95005807200929,0
MK765659,bf2b5260020023d212305302657e08a9c95204e48b1b3d5776338b4102b3e372,Non-chronic,5671,37.52424616469759,0
HM775310,cc1bf75bb741213a7f5583576c4a40a53e210540b6b59d70fe3fe4d6fd2f4372,Non-chronic,5359,44.59787273745102,0
MN311487,9d7890a1aba371a970d0dad07c46fe4bb4cfc7c8bb5641567a6da24f15978d2b,Non-chronic,4288,38.61940298507463,0
MK448491,cbafabe0d3128cc90b59f5d6970de09d213f2a3244640a9850033275831e2fa8,Non-chronic,13282,35.047432615569946,0
MK448598,91430503d50bd43a75ca3a390394dbb9298a02407d1d340bc402bfaca043768c,Non-chronic,9866,35.74903709710116,0
MK249223,8c3590c8de596869dded42651c9c70fb60b56d84f7dbbc4576e42c46eb231b98,Non-chronic,4368,51.83150183150183,0
KT264770,9337b8a4ac954238cee5d4ded6c39d4a9c535f6fe41751cb86311fb4c73103b4,Non-chronic,5482,39.94892375045604,0
MK765570,7f7e37a49ea515de81fa99c63f39d651dfd285e44e1407251fb4b4fc5a8ccf56,Non-chronic,5355,40.29878618113912,0
LT985572,9b3ac53a29804718442a358b12b3a5b095dffe4f69ccc41d5801dd68b00258d1,Non-chronic,15730,35.168467895740626,0
NC_002671,b18ea672e96c9cd38ef53636f0719f2c1e17245ec38a9674c9bfaf185e8e20df,Non-chronic,15179,33.03906713222215,0
,eaa12af3827e6d23212f1f8688ff73b48647b249a053f18ff2523d917c67293a,Chronic,5087,41.203066640456065,0
NC_042073,05e813444e1dc7c13eb491830e9e22feed9d462e5e146b77c687133d07706df4,Non-chronic,3004,57.456724367509985,0
KT355473,f553afc5a07755b0d380dd640f5f456f25727776aa538db03017714af738a21b,Non-chronic,15556,60.111853947030085,0
MK765632,2691cb3d953cc0bcbf9d628bd168b07ab1d2a3331f24fc412a72d76ada44f572,Non-chronic,5977,55.04433662372428,0
MH572280,46849b5f170622d734d3da509173ba4fe0a9fa482512a945bf831d29682fd353,Non-chronic,4334,39.24780802953392,0
JF719730,7a883a8852d4c4bdc2c4033e28beca89b42c6c28f6b2481a27c6676745070454,Non-chronic,5577,45.20351443428366,0
MH572416,17d9589360ec1a0f28d15f76a223ad8bfbdb2828d58abd9a387e2ee4c5771585,Non-chronic,4212,48.45679012345679,0
NC_019523,6eb74410fa3347da2b5b6f6b77ff4066b04f7b49fad61f9a498419c701d51433,Non-chronic,18919,27.802737988265765,0
MK820640,78dcae3b7c4993e43db76e395ae002859c40d6f046deb89951ed234e509a2d34,Non-chronic,15556,59.62972486500386,0
MK765595,cc0ad88b8694fb2ccd12f0a663e96e3e2fd23d6438e4e0c3ceb0d5ebb969d3c2,Non-chronic,5908,61.17129316181449,0
MH572279,5a14411f658b9ddf02206e28d523bc4f48bb881ea10c5446d0ad77318b73189b,Non-chronic,4438,38.373141054529064,0
KU160657,7bcc48e95b2f151629b99c0d5a0e6c11c3288b79bd2f8423ec818a94d7af2bbc,Non-chronic,15630,60.025591810620604,0
KP087948,3f256de9c5e8ff72cf7b81b14346402b6255cedfc6ed16ff5ca61fa4641cd976,Non-chronic,4817,41.51961801951422,0
,838c316064bf7fb2e7cdab530a35d568d06eed4ca534226944cd9ad5c50e243e,Chronic,5853,35.05894413121476,0
MH572428,107c8c88d15f1f4768123585b8f7f72812eb82a85a7347cbc5edec8bf419d127,Non-chronic,4242,42.92786421499293,0
KT264778,8b27591e2b5e1a40410c9945d78369a086cda6e54d067d06b8033e317e79e02d,Non-chronic,5109,49.34429438246232,0
MH572467,0e023a7eba5e2a3d445097c1e4b529daf12727d27d0b65352b25a81c48550fc9,Non-chronic,4227,35.62810503903478,0
MH572282,bfd383173d984d51ba86460eb8bab40b02c6c71533cb789ab7c9d72888c928f5,Non-chronic,4200,38.30952380952381,0
MG883719,6b23940ead4734e1d17d86126f7abbc51debd5d1825e7f8f9ed9b8ab8d90c161,Non-chronic,4969,44.2543771382572,0
MH572303,e761a6aebb00721e7ac4b15967ad0f836bae82c6144d87a27b69f9557e2bf463,Non-chronic,4331,40.98360655737705,0
MH572514,cb5265a6f938c7e7a9fa0781ace3ae0857858b3aca7d5e378336ad39ea499ada,Non-chronic,4172,40.34036433365292,0
,b2d1bced168a015b2a3abef08a8e9d62b6c664e05f335a32efde544a0b03ae0a,Chronic,5466,35.63849249908525,0
HM753690,4c5f8802cc1e239bae4bbfe7dfd4dd8f585a50df38e5ce8795a491e6f1b04029,Non-chronic,5387,44.737330610729536,0
MK448359,b5df9a0ebe01410b8dba7952fab06938adc29e41fb937bd6fc9cddc4799e373f,Non-chronic,9550,35.84293193717277,0
MK448615,72d616d051a650f34d4b6791720de837e55e17b56937b3838823f7fdb12ffd10,Non-chronic,15357,38.84873347659048,0
MK496799,6ffd97380a5a98b8b9ce0c52c4205aac7e16f9199bb687e861f6596afaf88333,Non-chronic,5129,33.203353480210566,0
DQ079909,26f4424ef302f3d703c10c6b84e243fffc2e50f6ac26b4421b29768f906340a4,Non-chronic,5486,45.078381334305504,0
MK496797,8d8a1d8146a002e28c3c66fb98d718448e9af85a908ba12e4e8c39d90e140819,Non-chronic,5204,36.222136817832435,0
,3bd4779e24cc333613153385420caf9b7b20bfc48e894a12f0c625e2aae750d0,Chronic,5274,35.77929465301479,0
MK249160,f2e25721114553a465ebaab4c87011756b76907c7b895caf0e45fe4badaae344,Non-chronic,4870,55.29774127310061,0
MK448495,0819fa588c66f5e9aa2aa73cfa3a636c7606412a8a274365db752d6c7c798526,Non-chronic,11832,39.11426639621366,0
MN234213,928b56f0352c326f8ddbde84972812be09075d01f19bc7d6b97ba85fb866bf38,Non-chronic,14646,70.60630888979927,0
MH572459,a1db81023a0f211e5d4fa5aea0c84caa1c89620224827848c0ea28cb1e1296ae,Non-chronic,4518,45.88313413014608,0
MH319725,c601b9fef8588367f4573894794464f2bbf9726963fb39899c4444fa38c6e9c8,Non-chronic,10654,38.971278393091794,0
MK765629,70b666338b8e4a1ccd0aa36e00368d136c94000cddd10db00867da1313714126,Non-chronic,6290,62.209856915739266,0
MK496763,3f5e76f694db922dc32cbcf71b250db1ba8dadb500aeb9ae8cb4e98240d93514,Non-chronic,6140,29.95114006514658,0
MH992195,ccdbb43818ee873d2f0cabd3b7bc73d218534c7d6c08834baa839aa9d713770a,Non-chronic,4559,47.378811142794476,0
MH572366,3f36f61621fb6efafa702c8862ea3dc863751a62572b1115ae278d4a68b93cf8,Non-chronic,4184,52.652963671128106,0
MK448611,05e0523be6901cce8a9400cf8f0876b4c46d7aaea44a75c986be5e7f201e527f,Non-chronic,13403,37.55875550249944,0
LT996073,d23863662900cf617ea8578749b3564b7d0bc4fc67cb9358e05cfa6c4d8eceba,Non-chronic,5111,37.15515554685972,0
MH992216,0aba40390062fad429ff2f1dbf036527c887661e2b9c94c99e500286b435a159,Non-chronic,4286,49.69668688754083,0
,3420fd867669dd52c61a2a83a6565d16f9be55060ba3df3efa89613e3f52775b,Chronic,4161,35.47224224945926,0
MK620897,c8fa627615150dc4d86ac9a1f36f232fe6077d26002e87e50ea31e64958d6391,Non-chronic,17453,68.72743940869765,0
DQ785290,b1feb51b723dfff8412b7315c8316ace31d68305c8c5abae791253ce1147e373,Non-chronic,4065,56.85116851168512,0
DQ079897,68817fe38654b16a9b8ded59a85d2e8b6fb8807f9ff8c936916daad45928cb00,Non-chronic,5540,46.02888086642599,0
MH572497,da465930eee9ef579b04758a2c5cb84a0a946010dd3397fab1e0ef59f3b4069f,Non-chronic,4367,36.61552553240211,0
KT264827,2a04b0305a9015d983b309509382e70d821446a23eaf5db1341d4e741d40b736,Non-chronic,5111,44.88358442574839,0
,81d6605832a55f78f0b6b6f853026a2d85074b7e80e1fce92cd81231ab8ecdff,Chronic,5235,33.12320916905444,0
MK448343,009c616edc66bc974bea7de3492cc2950dac56a75a56acfa105c1d6d12f4db34,Non-chronic,14338,36.39280234342307,0
MH572380,f6b37fb9b85ca0f2f39c8b70082da9738c342f5bfc8a6bdd6493beec933810a8,Non-chronic,4417,42.99298166176138,0
,bf65a6370d910348bc0d066df029deaa381afcdf2a1cc0687de017f4f569a5f8,Chronic,5653,34.3003714841677,0
MK448332,678e564228ded052ce2c37e417caa4c94af421727776476a1550e6b813b0bc5b,Non-chronic,11974,36.312009353599464,0
,87cbe31ff27e268f83ecc793a4d96b0736979806677aa2f526c1b4908c3e657a,Chronic,5497,45.38839366927415,0
MH572333,2d0aeabe7b2e6b001deb6fcd02786caa32f69571bb435873044475a5ff385bf0,Non-chronic,4467,56.637564360868595,0
MK448444,3b3bb7ec7057028724f4e3c7fcf4d4f35eba39d55642f5c702ed65aee838fb31,Non-chronic,9131,39.152338188588324,0
MH572507,f680c238d175b912ac87d6263a9149613d8ecb844700602dd21bf86706d53882,Non-chronic,4353,42.821042958878934,0
NC_027638,ac1a209f18003a48a393fee59f2cf1d85d134f481760feb5f22047ccbd7517ac,Non-chronic,4671,41.939627488760436,0
MK496775,06d315d54d3a003c5e4d2619d4489bb08181c33d31c39eeccefa28dc922f452e,Non-chronic,5595,36.05004468275246,0
NC_001998,68d86d592dc36923b86d1bd32b9db58adc440a8822088a30bc9666d3e6778d13,Non-chronic,4529,40.98034886288364,0
KT264823,f8b90e51c986e29a8bb743e12116977593c978aec5328232c3fc2e8759fa6f8a,Non-chronic,5008,39.27715654952077,0
KT264820,841d0d1e3f2a332884afea92ca67923253afb094a2aea37eb649b438f289fd9f,Non-chronic,5596,38.99213724088635,0
MK448547,ff3dabb3b11a0656dccaeb17fb14163f1bdd0b75199405895c0c8e92567c3bc0,Non-chronic,10617,36.516906847508714,0
MK496773,4a2393f52162b0a2d85762f20818917bde8b745ffe920895b6bc286ea3aa549e,Non-chronic,5664,31.850282485875706,0
MH572338,aa46000290de75c2e359fa6e6a6f1fdb96de231f25ef63154878a1485d1d9f5f,Non-chronic,4400,46.61363636363637,0
MK976036,7aa976e3a0d075901999d303b85137dae4b2db514e0b2f3c8271225be9366f4f,Non-chronic,17223,36.65447366893108,0
MK496716,bb8065957bd14b4aab0cd7d521c3ca22d824c91f9af421457fab9a03d1a78467,Non-chronic,5278,36.98370594922319,0
MK448317,1289727bdbd75c4c4adde4dbae3eb7cce1b19c732e50ae49955be144f447cdab,Non-chronic,10653,34.29081010044119,0
,63253f509cc320b71f76cfdd74ecad9a5a1b257af89b5952c266fae672175cb0,Chronic,4747,38.10827891299768,0
MK448557,f2a8411710c03909b76357f01bd42bfcfdd2ca602ab8610270c0b3e711e038ec,Non-chronic,10319,38.86035468553155,0
MK765614,7d40a06bbf73fc74182d14defe979fb1f29322d532794ffca60d3cce1ae8e2cd,Non-chronic,5810,41.58347676419966,0
MK448415,92ba3c9192dcb51e07907fef31956edf6cb10f768dc74cf1e2f9a64b3d58d267,Non-chronic,12024,38.547904191616766,0
MH572281,517132d3375468467d878ff7c71370000f763709d947bcc520fc8c404d4d9e8c,Non-chronic,3988,36.38415245737212,0
MK496728,5c3b2335a7f81d0f2a34baa11e103b22f0072015b6343ec065ac6c36eda301f3,Non-chronic,5074,33.858888450926294,0
MH572485,04929f134697e9e66b821b826a97f9e2234effb270456c0cd71e9b6d80db112e,Non-chronic,4568,36.40542907180385,0
MH572457,98f9bb949adcb38293e9d7367a6d5b8b00246512dca54ebbd0d85063ce403e78,Non-chronic,4245,53.92226148409894,0
,182b7196962ced68717e8adab2fee2fb6682f3344001a0a72bcf1c10bf1e1777,Chronic,4595,46.681175190424376,0
MK903033,cf801ce0334f633184e6585d3220559af483f3252e4d8238f549d4944ccf69da,Non-chronic,17522,28.866567743408286,0
,b52eb03be015ba6598236c8a6a0b0347385ff02190fa2dcb9c8dbe5d4378af9d,Chronic,5681,42.703749339904945,0
MH992222,ce9b9a197921198e5a77a804f6e756d6a53c28fa7b6dcf225c06d06a99e875b3,Non-chronic,4211,41.67656138684398,0
MN988485,6458b390225985ff6afcf0a99dde3faf904584891990a2c888363e67b4b5c7f7,Non-chronic,4801,56.69652155800875,0
MK765571,516fe7d22b1f3dde3c5ef28536b9bbc0c44caa90eb6e8dec8e467b6df223d02c,Non-chronic,4587,41.46500981033355,0
MK765562,ac373d234222f823f5ac2b1b177dd3dabafe8548821009dc6bcf92c3bd0e829f,Non-chronic,5961,42.27478610971313,0
MK448507,185bef71376097ac97dd3b915c0002ab97f2b0b1b20fab4f390a71c396c0d8e7,Non-chronic,15425,36.47974068071313,0
NC_001330,495c78e0334f9c3abb665bbede6816977d8f7f5347e1630f4cef1236c1d4d9e8,Non-chronic,6087,45.178248726794806,0
MT498051,d1f432efffa32e720569056eff599c32eb1836779ed3b8b72d81dc68342d52ae,Non-chronic,17368,68.52832795946568,0
KU160670,1fb73795ad8f34a3bdb7482f49cabd5a17174e443bbc5545fdee33629cd7853c,Non-chronic,15319,60.27155819570468,0
