acc_no,lifecycle,train_test
HM753676,Non-chronic,0
HM753677,Non-chronic,0
HM753678,Non-chronic,0
HM753679,Non-chronic,0
HM753680,Non-chronic,1
HM753681,Non-chronic,0
HM753682,Non-chronic,0
HM753683,Non-chronic,0
HM753684,Non-chronic,0
HM753685,Non-chronic,0
HM753686,Non-chronic,0
HM753687,Non-chronic,0
HM753688,Non-chronic,1
HM753689,Non-chronic,0
HM753690,Non-chronic,0
HM753691,Non-chronic,1
HM753692,Non-chronic,0
HM753693,Non-chronic,0
HM753694,Non-chronic,0
HM753695,Non-chronic,0
HM753697,Non-chronic,0
HM753698,Non-chronic,1
HM753699,Non-chronic,0
HM753703,Non-chronic,0
HM753704,Non-chronic,0
HM753705,Non-chronic,0
HM753706,Non-chronic,0
HM753711,Non-chronic,0
HM753712,Non-chronic,0
HM753715,Non-chronic,1
HM753716,Non-chronic,0
HM753717,Non-chronic,1
HM753718,Non-chronic,0
HM775306,Non-chronic,0
HM775307,Non-chronic,1
HM775308,Non-chronic,0
HM775309,Non-chronic,0
HM775310,Non-chronic,0
HM775311,Non-chronic,0
HQ906664,Non-chronic,1
JF719726,Non-chronic,0
JF719727,Non-chronic,1
JF719728,Non-chronic,0
JF719729,Non-chronic,1
JF719730,Non-chronic,0
JF719731,Non-chronic,0
JQ764986,Non-chronic,0
JQ764987,Non-chronic,1
JQ764988,Non-chronic,1
JQ764989,Non-chronic,0
JQ764990,Non-chronic,0
JQ966307,Non-chronic,0
KC131022,Non-chronic,0
KC131023,Non-chronic,0
KC131024,Non-chronic,0
KC131025,Non-chronic,1
KC237308,Non-chronic,1
KC821628,Non-chronic,0
KC821631,Non-chronic,0
KF044309,Non-chronic,0
KF044310,Non-chronic,0
KJ617393,Non-chronic,0
KJ997912,Non-chronic,0
KM589507,Non-chronic,0
KP087937,Non-chronic,1
KP087938,Non-chronic,1
KP087939,Non-chronic,1
KP087940,Non-chronic,0
KP087941,Non-chronic,0
KP087942,Non-chronic,0
KP087943,Non-chronic,0
KP087944,Non-chronic,0
KP087945,Non-chronic,0
KP087946,Non-chronic,0
KP087947,Non-chronic,1
KP087948,Non-chronic,0
KP087949,Non-chronic,0
KP087950,Non-chronic,0
KP087951,Non-chronic,0
KP087952,Non-chronic,1
KP087953,Non-chronic,1
KP087954,Non-chronic,0
KP087955,Non-chronic,0
KP087956,Non-chronic,1
KR093638,Non-chronic,1
KR296693,Non-chronic,0
KT264749,Non-chronic,0
KT264750,Non-chronic,1
KT264751,Non-chronic,0
KT264753,Non-chronic,1
KT264754,Non-chronic,0
KT264755,Non-chronic,1
KT264756,Non-chronic,1
KT264757,Non-chronic,0
KT264758,Non-chronic,0
KT264759,Non-chronic,0
KT264760,Non-chronic,0
KT264761,Non-chronic,1
KT264762,Non-chronic,0
KT264763,Non-chronic,0
KT264764,Non-chronic,0
KT264765,Non-chronic,0
KT264766,Non-chronic,0
KT264767,Non-chronic,0
KT264768,Non-chronic,0
KT264769,Non-chronic,0
KT264770,Non-chronic,0
KT264771,Non-chronic,0
KT264772,Non-chronic,0
KT264773,Non-chronic,0
KT264774,Non-chronic,1
KT264775,Non-chronic,0
KT264776,Non-chronic,1
KT264777,Non-chronic,0
KT264778,Non-chronic,0
KT264779,Non-chronic,1
KT264780,Non-chronic,0
KT264781,Non-chronic,0
KT264782,Non-chronic,1
KT264783,Non-chronic,1
KT264784,Non-chronic,0
KT264785,Non-chronic,0
KT264786,Non-chronic,0
KT264787,Non-chronic,0
KT264788,Non-chronic,0
KT264789,Non-chronic,1
KT264790,Non-chronic,1
KT264792,Non-chronic,0
KT264793,Non-chronic,0
KT264795,Non-chronic,1
KT264796,Non-chronic,0
KT264797,Non-chronic,1
KT264798,Non-chronic,1
KT264799,Non-chronic,0
KT264800,Non-chronic,1
KT264801,Non-chronic,1
KT264802,Non-chronic,1
KT264803,Non-chronic,0
KT264804,Non-chronic,0
KT264805,Non-chronic,1
KT264806,Non-chronic,0
KT264807,Non-chronic,0
KT264808,Non-chronic,0
KT264809,Non-chronic,0
KT264810,Non-chronic,0
KT264811,Non-chronic,1
KT264812,Non-chronic,1
KT264813,Non-chronic,0
KT264814,Non-chronic,1
KT264816,Non-chronic,0
KT264817,Non-chronic,0
KT264818,Non-chronic,0
KT264819,Non-chronic,1
KT264820,Non-chronic,1
KT264821,Non-chronic,1
KT264822,Non-chronic,1
KT264823,Non-chronic,0
KT264824,Non-chronic,0
KT264825,Non-chronic,1
KT264826,Non-chronic,0
KT264827,Non-chronic,0
KT264828,Non-chronic,0
KT264829,Non-chronic,0
KT264830,Non-chronic,1
KT264831,Non-chronic,1
KT264832,Non-chronic,0
KT264833,Non-chronic,0
KT264834,Non-chronic,1
KT264835,Non-chronic,1
KT355473,Non-chronic,0
KT355475,Non-chronic,1
KT783672,Non-chronic,0
KU160655,Non-chronic,0
KU160657,Non-chronic,0
KU160658,Non-chronic,0
KU160667,Non-chronic,0
KU160670,Non-chronic,0
KU160674,Non-chronic,0
KU708005,Non-chronic,0
KU886275,Non-chronic,0
KU998256,Non-chronic,0
KX077892,Non-chronic,0
KX077893,Non-chronic,0
KX266301,Non-chronic,0
KX266302,Non-chronic,1
KX266307,Non-chronic,0
KX266308,Non-chronic,0
KX266309,Non-chronic,0
KX266312,Non-chronic,0
KX266316,Non-chronic,0
KX266317,Non-chronic,0
KX266318,Non-chronic,0
KX266322,Non-chronic,1
KX266330,Non-chronic,0
KX266337,Non-chronic,0
KX266343,Non-chronic,0
KX266345,Non-chronic,0
KX266346,Non-chronic,0
KX266352,Non-chronic,0
KX266353,Non-chronic,0
KX266355,Non-chronic,0
KX266358,Non-chronic,0
KX266360,Non-chronic,1
KX266363,Non-chronic,0
KX266367,Non-chronic,1
KX266374,Non-chronic,1
KX266377,Non-chronic,0
KX266384,Non-chronic,0
KX266388,Non-chronic,0
KX266391,Non-chronic,0
KX266396,Non-chronic,0
KX266397,Non-chronic,0
KX266405,Non-chronic,0
KX266408,Non-chronic,0
KX266412,Non-chronic,0
KX266413,Non-chronic,0
KX266414,Non-chronic,0
KX266418,Non-chronic,0
KX266419,Non-chronic,0
KX266420,Non-chronic,0
KX266431,Non-chronic,1
KX266432,Non-chronic,1
KX266433,Non-chronic,0
KX266436,Non-chronic,1
KX266437,Non-chronic,1
KX266444,Non-chronic,0
KX266447,Non-chronic,0
KX266448,Non-chronic,0
KX266449,Non-chronic,1
KX266450,Non-chronic,0
KX266452,Non-chronic,0
KX266458,Non-chronic,1
KX266459,Non-chronic,1
KX266465,Non-chronic,0
KX266469,Non-chronic,0
KX266471,Non-chronic,0
KX266473,Non-chronic,0
KX266475,Non-chronic,0
KX266476,Non-chronic,0
KX266478,Non-chronic,0
KX266479,Non-chronic,0
KX266480,Non-chronic,0
KX266482,Non-chronic,1
KX266489,Non-chronic,0
KX266492,Non-chronic,0
KX266494,Non-chronic,1
KX266495,Non-chronic,0
KX266500,Non-chronic,0
KX266502,Non-chronic,0
KX266505,Non-chronic,0
KX266514,Non-chronic,1
KX266516,Non-chronic,0
KX266524,Non-chronic,0
KX266525,Non-chronic,0
KX266526,Non-chronic,1
KX266527,Non-chronic,0
KX266529,Non-chronic,0
KX266531,Non-chronic,0
KX266532,Non-chronic,0
KX266533,Non-chronic,1
KX266534,Non-chronic,0
KX266535,Non-chronic,0
KX266536,Non-chronic,0
KX266537,Non-chronic,0
KX266538,Non-chronic,1
KX266544,Non-chronic,1
KX266546,Non-chronic,0
KX266547,Non-chronic,1
KX266550,Non-chronic,0
KX266551,Non-chronic,0
KX266553,Non-chronic,0
KX266555,Non-chronic,0
KX266556,Non-chronic,0
KX266558,Non-chronic,0
KX266563,Non-chronic,1
KX266564,Non-chronic,1
KX266565,Non-chronic,0
KX266566,Non-chronic,1
KX266571,Non-chronic,1
KX266574,Non-chronic,0
KX266575,Non-chronic,0
KX266576,Non-chronic,0
KX266585,Non-chronic,1
KX266587,Non-chronic,0
KX266588,Non-chronic,0
KX266596,Non-chronic,1
KX266600,Non-chronic,0
KX266603,Non-chronic,0
KX266604,Non-chronic,0
KX266606,Non-chronic,1
KX266607,Non-chronic,0
KX266609,Non-chronic,0
KX266610,Non-chronic,0
KX266616,Non-chronic,1
KX266617,Non-chronic,0
KX266619,Non-chronic,0
KX266620,Non-chronic,1
KX266624,Non-chronic,0
KX266626,Non-chronic,0
KX443695,Non-chronic,1
KX513864,Non-chronic,0
KX513865,Non-chronic,0
KX513866,Non-chronic,0
KX513869,Non-chronic,1
KX513870,Non-chronic,0
KX513871,Non-chronic,0
KX513873,Non-chronic,1
KX513874,Non-chronic,0
KX513875,Non-chronic,0
KX513876,Non-chronic,1
KX513877,Non-chronic,0
KX576642,Non-chronic,1
KX610765,Non-chronic,0
KY000085,Non-chronic,0
KY434670,Non-chronic,0
KY653121,Non-chronic,0
KY653122,Non-chronic,0
KY653128,Non-chronic,0
KY653237,Non-chronic,0
L06183,Non-chronic,0
LT600745,Non-chronic,0
LT898437,Non-chronic,0
LT960607,Non-chronic,1
LT986678,Non-chronic,0
M14428,Non-chronic,0
MF140409,Non-chronic,0
MF140415,Non-chronic,0
MF140417,Non-chronic,0
MF140419,Non-chronic,0
MF140420,Non-chronic,0
MF140426,Non-chronic,0
MF140429,Non-chronic,1
MF140431,Non-chronic,0
MF140433,Non-chronic,1
MF443119,Non-chronic,0
MF443120,Non-chronic,0
MF443122,Non-chronic,1
MF443124,Non-chronic,0
MG025518,Non-chronic,0
MG214764,Non-chronic,1
MG563770,Non-chronic,0
MG584725,Non-chronic,0
MG641180,Non-chronic,0
MG766219,Non-chronic,0
MG812496,Non-chronic,0
MG883709,Non-chronic,0
MG883710,Non-chronic,1
MG883711,Non-chronic,0
MG883712,Non-chronic,0
MG883713,Non-chronic,0
MG883714,Non-chronic,0
MG883715,Non-chronic,0
MG883718,Non-chronic,0
MG883719,Non-chronic,0
MG883720,Non-chronic,0
MG883721,Non-chronic,0
MG883722,Non-chronic,1
MG883723,Non-chronic,0
MG883724,Non-chronic,0
MG883725,Non-chronic,0
MG883726,Non-chronic,0
MG945128,Non-chronic,0
MG945129,Non-chronic,0
MG945130,Non-chronic,0
MG945131,Non-chronic,0
MG945132,Non-chronic,0
MG945133,Non-chronic,0
MG945134,Non-chronic,0
MG945135,Non-chronic,1
MG945136,Non-chronic,0
MG945137,Non-chronic,0
MG945138,Non-chronic,1
MG945139,Non-chronic,0
MG945140,Non-chronic,0
MG945141,Non-chronic,0
MG945142,Non-chronic,0
MG945153,Non-chronic,0
MG945154,Non-chronic,1
MG945155,Non-chronic,0
MG945156,Non-chronic,1
MG945157,Non-chronic,0
MG945158,Non-chronic,0
MG945159,Non-chronic,1
MG945160,Non-chronic,1
MG945161,Non-chronic,0
MG945162,Non-chronic,0
MG945163,Non-chronic,0
MG945164,Non-chronic,0
MG945165,Non-chronic,1
MG945166,Non-chronic,0
MG945177,Non-chronic,0
MG945178,Non-chronic,0
MG945179,Non-chronic,0
MG945180,Non-chronic,1
MG945181,Non-chronic,1
MG945182,Non-chronic,0
MG945183,Non-chronic,1
MG945184,Non-chronic,0
MG945185,Non-chronic,0
MG945186,Non-chronic,1
MG945187,Non-chronic,0
MG945188,Non-chronic,0
MG945189,Non-chronic,0
MG945190,Non-chronic,0
MG945191,Non-chronic,1
MG945202,Non-chronic,0
MG945203,Non-chronic,0
MG945204,Non-chronic,0
MG945205,Non-chronic,0
MG945206,Non-chronic,1
MG945207,Non-chronic,1
MG945208,Non-chronic,0
MG945209,Non-chronic,0
MG945210,Non-chronic,0
MG945211,Non-chronic,0
MG945212,Non-chronic,0
MG945213,Non-chronic,0
MG945214,Non-chronic,0
MG945215,Non-chronic,0
MG945216,Non-chronic,0
MG945227,Non-chronic,0
MG945228,Non-chronic,1
MG945229,Non-chronic,0
MG945230,Non-chronic,1
MG945231,Non-chronic,0
MG945232,Non-chronic,0
MG945233,Non-chronic,0
MG945234,Non-chronic,0
MG945235,Non-chronic,0
MG945236,Non-chronic,0
MG945237,Non-chronic,0
MG945238,Non-chronic,0
MG945239,Non-chronic,0
MG945240,Non-chronic,0
MG945241,Non-chronic,0
MG945252,Non-chronic,1
MG945253,Non-chronic,0
MG945254,Non-chronic,0
MG945255,Non-chronic,1
MG945256,Non-chronic,1
MG945257,Non-chronic,0
MG945258,Non-chronic,0
MG945259,Non-chronic,0
MG945260,Non-chronic,0
MG945261,Non-chronic,0
MG945262,Non-chronic,0
MG945263,Non-chronic,0
MG945264,Non-chronic,0
MG945265,Non-chronic,0
MG945266,Non-chronic,0
MG945275,Non-chronic,1
MG945276,Non-chronic,0
MG945277,Non-chronic,1
MG945278,Non-chronic,0
MG945279,Non-chronic,0
MG945280,Non-chronic,0
MG945281,Non-chronic,0
MG945282,Non-chronic,1
MG945283,Non-chronic,0
MG945284,Non-chronic,0
MG945285,Non-chronic,0
MG945286,Non-chronic,0
MG945306,Non-chronic,0
MG945307,Non-chronic,0
MG945308,Non-chronic,0
MG945309,Non-chronic,0
MG945310,Non-chronic,0
MG945311,Non-chronic,0
MG945312,Non-chronic,1
MG945313,Non-chronic,0
MG945314,Non-chronic,0
MG945315,Non-chronic,0
MG945316,Non-chronic,0
MG945317,Non-chronic,1
MG945318,Non-chronic,0
MG945319,Non-chronic,1
MG945320,Non-chronic,0
MG945321,Non-chronic,1
MG945322,Non-chronic,0
MG945323,Non-chronic,0
MG945324,Non-chronic,0
MG945325,Non-chronic,0
MG945326,Non-chronic,1
MG945327,Non-chronic,0
MG945328,Non-chronic,1
MG945329,Non-chronic,0
MG945330,Non-chronic,0
MG945331,Non-chronic,0
MG945332,Non-chronic,1
MG945333,Non-chronic,0
MG945334,Non-chronic,0
MG945335,Non-chronic,1
MG945336,Non-chronic,0
MG945337,Non-chronic,1
MG945338,Non-chronic,0
MG945339,Non-chronic,0
MG945340,Non-chronic,0
MG945341,Non-chronic,1
MG945342,Non-chronic,0
MG945343,Non-chronic,1
MG945344,Non-chronic,0
MG945345,Non-chronic,0
MG945346,Non-chronic,0
MG945347,Non-chronic,1
MG945348,Non-chronic,1
MG945349,Non-chronic,0
MG945350,Non-chronic,0
MG945351,Non-chronic,1
MG945352,Non-chronic,0
MG945353,Non-chronic,0
MG945354,Non-chronic,0
MG945355,Non-chronic,0
MG945356,Non-chronic,0
MG945357,Non-chronic,0
MG945358,Non-chronic,0
MG945359,Non-chronic,1
MG945360,Non-chronic,0
MG945361,Non-chronic,0
MG945362,Non-chronic,1
MG945363,Non-chronic,1
MG945364,Non-chronic,0
MG945365,Non-chronic,0
MG945381,Non-chronic,1
MG945382,Non-chronic,0
MG945383,Non-chronic,0
MG945384,Non-chronic,0
MG945385,Non-chronic,0
MG945386,Non-chronic,1
MG945387,Non-chronic,0
MG945388,Non-chronic,1
MG945389,Non-chronic,0
MG945390,Non-chronic,1
MG945391,Non-chronic,0
MG945392,Non-chronic,0
MG945393,Non-chronic,0
MG945394,Non-chronic,0
MG945395,Non-chronic,0
MG945396,Non-chronic,0
MG945397,Non-chronic,1
MG945398,Non-chronic,0
MG945399,Non-chronic,0
MG945400,Non-chronic,0
MG945401,Non-chronic,0
MG945402,Non-chronic,1
MG945403,Non-chronic,1
MG945404,Non-chronic,0
MG945405,Non-chronic,0
MG945406,Non-chronic,0
MG945407,Non-chronic,0
MG945408,Non-chronic,0
MG945409,Non-chronic,0
MG945411,Non-chronic,0
MG945412,Non-chronic,0
MG945413,Non-chronic,1
MG945414,Non-chronic,0
MG945417,Non-chronic,0
MG945418,Non-chronic,1
MG945419,Non-chronic,0
MG945420,Non-chronic,1
MG945421,Non-chronic,0
MG945422,Non-chronic,0
MG945423,Non-chronic,0
MG945424,Non-chronic,0
MG945425,Non-chronic,0
MG945426,Non-chronic,0
MG945427,Non-chronic,1
MG945428,Non-chronic,0
MG945429,Non-chronic,0
MG945430,Non-chronic,0
MG945431,Non-chronic,0
MG945432,Non-chronic,0
MG945433,Non-chronic,1
MG945434,Non-chronic,1
MG945435,Non-chronic,0
MG945436,Non-chronic,0
MG945437,Non-chronic,0
MG945438,Non-chronic,0
MG945439,Non-chronic,1
MG945440,Non-chronic,0
MG945441,Non-chronic,0
MG945442,Non-chronic,0
MG945443,Non-chronic,1
MG945444,Non-chronic,0
MG945445,Non-chronic,0
MG945446,Non-chronic,1
MG945447,Non-chronic,0
MG945448,Non-chronic,0
MG945449,Non-chronic,1
MG945450,Non-chronic,1
MG945451,Non-chronic,1
MG945452,Non-chronic,1
MG945453,Non-chronic,0
MG945454,Non-chronic,0
MG945455,Non-chronic,1
MG945456,Non-chronic,0
MG945457,Non-chronic,0
MG945458,Non-chronic,0
MG945459,Non-chronic,0
MG945460,Non-chronic,0
MG945461,Non-chronic,0
MG945462,Non-chronic,0
MG945463,Non-chronic,0
MG945464,Non-chronic,0
MG945465,Non-chronic,0
MG945466,Non-chronic,0
MG945467,Non-chronic,0
MG945468,Non-chronic,0
MG945469,Non-chronic,0
MG945470,Non-chronic,1
MG945471,Non-chronic,0
MG945472,Non-chronic,1
MG945473,Non-chronic,0
MG945474,Non-chronic,0
MG945475,Non-chronic,0
MG945476,Non-chronic,1
MG945477,Non-chronic,1
MG945478,Non-chronic,1
MG945479,Non-chronic,1
MG945480,Non-chronic,1
MG945481,Non-chronic,1
MG945482,Non-chronic,0
MG945483,Non-chronic,0
MG945484,Non-chronic,1
MG945485,Non-chronic,0
MG945486,Non-chronic,1
MG945487,Non-chronic,0
MG945488,Non-chronic,0
MG945489,Non-chronic,0
MG945490,Non-chronic,1
MG945491,Non-chronic,0
MG945492,Non-chronic,1
MG945493,Non-chronic,0
MG945494,Non-chronic,0
MG945495,Non-chronic,1
MG945496,Non-chronic,0
MG945497,Non-chronic,0
MG945498,Non-chronic,1
MG945499,Non-chronic,1
MG945500,Non-chronic,0
MG945501,Non-chronic,0
MG945502,Non-chronic,0
MG945503,Non-chronic,0
MG945504,Non-chronic,0
MG945505,Non-chronic,0
MG945506,Non-chronic,0
MG945507,Non-chronic,0
MG945508,Non-chronic,0
MG945509,Non-chronic,1
MG945511,Non-chronic,0
MG945512,Non-chronic,1
MG945513,Non-chronic,0
MG945515,Non-chronic,0
MG945516,Non-chronic,0
MG945517,Non-chronic,0
MG945518,Non-chronic,1
MG945519,Non-chronic,0
MG945520,Non-chronic,0
MG945521,Non-chronic,0
MG945522,Non-chronic,0
MG945523,Non-chronic,0
MG945524,Non-chronic,1
MG945525,Non-chronic,0
MG945526,Non-chronic,0
MG945527,Non-chronic,0
MG945528,Non-chronic,0
MG945529,Non-chronic,0
MG945530,Non-chronic,0
MG945531,Non-chronic,0
MG945532,Non-chronic,1
MG945533,Non-chronic,0
MG945534,Non-chronic,1
MG945535,Non-chronic,1
MG945536,Non-chronic,0
MG945537,Non-chronic,1
MG945538,Non-chronic,1
MG945539,Non-chronic,1
MG945540,Non-chronic,0
MG945541,Non-chronic,0
MG945542,Non-chronic,0
MG945543,Non-chronic,0
MG945544,Non-chronic,0
MG945545,Non-chronic,0
MG945546,Non-chronic,0
MG945547,Non-chronic,0
MG945548,Non-chronic,0
MG945549,Non-chronic,0
MG945550,Non-chronic,0
MG945551,Non-chronic,1
MG945552,Non-chronic,0
MG945553,Non-chronic,1
MG945554,Non-chronic,0
MG945555,Non-chronic,1
MG945556,Non-chronic,1
MG945557,Non-chronic,0
MG945558,Non-chronic,0
MG945559,Non-chronic,0
MG945560,Non-chronic,0
MG945561,Non-chronic,0
MG945562,Non-chronic,1
MG945563,Non-chronic,0
MG945564,Non-chronic,0
MG945565,Non-chronic,0
MG945566,Non-chronic,0
MG945567,Non-chronic,0
MG945568,Non-chronic,0
MG945569,Non-chronic,0
MG945570,Non-chronic,0
MG945571,Non-chronic,0
MG945572,Non-chronic,0
MG945573,Non-chronic,0
MG945574,Non-chronic,0
MG945575,Non-chronic,1
MG945576,Non-chronic,0
MG945577,Non-chronic,0
MG945578,Non-chronic,1
MG945579,Non-chronic,0
MG945580,Non-chronic,0
MG945581,Non-chronic,0
MG945582,Non-chronic,0
MG945583,Non-chronic,0
MG945584,Non-chronic,0
MG945585,Non-chronic,0
MG945586,Non-chronic,0
MG945587,Non-chronic,0
MG945588,Non-chronic,0
MG945589,Non-chronic,0
MG945590,Non-chronic,0
MG945591,Non-chronic,0
MG945592,Non-chronic,0
MG945593,Non-chronic,0
MG945594,Non-chronic,0
MG945595,Non-chronic,0
MG945596,Non-chronic,1
MG945597,Non-chronic,0
MG945598,Non-chronic,0
MG945599,Non-chronic,0
MG945600,Non-chronic,0
MG945601,Non-chronic,0
MG945602,Non-chronic,0
MG945603,Non-chronic,0
MG945604,Non-chronic,1
MG945605,Non-chronic,1
MG945606,Non-chronic,0
MG945607,Non-chronic,0
MG945608,Non-chronic,0
MG945609,Non-chronic,0
MG945610,Non-chronic,0
MG945611,Non-chronic,0
MG945612,Non-chronic,1
MG945613,Non-chronic,1
MG945614,Non-chronic,0
MG945615,Non-chronic,1
MG945616,Non-chronic,1
MG945617,Non-chronic,0
MG945618,Non-chronic,0
MG945619,Non-chronic,0
MG945620,Non-chronic,0
MG945621,Non-chronic,0
MG945622,Non-chronic,1
MG945623,Non-chronic,0
MG945624,Non-chronic,0
MG945625,Non-chronic,1
MG945626,Non-chronic,1
MG945627,Non-chronic,0
MG945628,Non-chronic,1
MG945629,Non-chronic,0
MG945630,Non-chronic,0
MG945631,Non-chronic,0
MG945632,Non-chronic,0
MG945633,Non-chronic,1
MG945634,Non-chronic,0
MG945635,Non-chronic,0
MG945636,Non-chronic,0
MG945637,Non-chronic,0
MG945638,Non-chronic,1
MG945639,Non-chronic,0
MG945640,Non-chronic,0
MG945641,Non-chronic,0
MG945642,Non-chronic,0
MG945643,Non-chronic,0
MG945644,Non-chronic,0
MG945645,Non-chronic,0
MG945646,Non-chronic,0
MG945647,Non-chronic,0
MG945662,Non-chronic,1
MG945663,Non-chronic,0
MG945664,Non-chronic,1
MG945665,Non-chronic,0
MG945666,Non-chronic,0
MG945667,Non-chronic,0
MG945668,Non-chronic,0
MG945669,Non-chronic,1
MG945670,Non-chronic,1
MG945671,Non-chronic,1
MG945672,Non-chronic,1
MG945673,Non-chronic,0
MG945674,Non-chronic,0
MG945675,Non-chronic,0
MG945676,Non-chronic,1
MG945677,Non-chronic,0
MG945678,Non-chronic,0
MG945679,Non-chronic,0
MG945680,Non-chronic,1
MG945681,Non-chronic,0
MG945682,Non-chronic,0
MG945683,Non-chronic,0
MG945684,Non-chronic,0
MG945685,Non-chronic,0
MG945686,Non-chronic,0
MG945687,Non-chronic,0
MG945688,Non-chronic,0
MG945689,Non-chronic,1
MG945690,Non-chronic,0
MG945691,Non-chronic,0
MG945692,Non-chronic,0
MG945693,Non-chronic,1
MG945694,Non-chronic,0
MG945695,Non-chronic,0
MG945696,Non-chronic,0
MG945697,Non-chronic,0
MG945698,Non-chronic,1
MG945699,Non-chronic,0
MG945700,Non-chronic,0
MG945701,Non-chronic,0
MG945702,Non-chronic,0
MG945703,Non-chronic,1
MG945704,Non-chronic,0
MG945705,Non-chronic,0
MG945706,Non-chronic,0
MG945707,Non-chronic,0
MG945708,Non-chronic,0
MG945709,Non-chronic,0
MG945710,Non-chronic,0
MG945711,Non-chronic,0
MG945712,Non-chronic,0
MG945713,Non-chronic,1
MG945714,Non-chronic,0
MG945715,Non-chronic,0
MG945716,Non-chronic,0
MG945717,Non-chronic,0
MG945718,Non-chronic,0
MG945719,Non-chronic,0
MG945720,Non-chronic,1
MG945721,Non-chronic,0
MG945722,Non-chronic,0
MG945723,Non-chronic,1
MG945724,Non-chronic,0
MG945725,Non-chronic,0
MG945726,Non-chronic,1
MG945727,Non-chronic,0
MG945728,Non-chronic,0
MG945729,Non-chronic,0
MG945730,Non-chronic,0
MG945731,Non-chronic,1
MG945732,Non-chronic,0
MG945733,Non-chronic,0
MG945734,Non-chronic,1
MG945735,Non-chronic,1
MG945736,Non-chronic,0
MG945737,Non-chronic,1
